UF,id,Cidade,Status,Observações,Falhas
MG,mg_sacramento,Sacramento,False,Spider não ta funcionando,
MG,mg_mantena,Mantena,False,BaseUrl não funciona,
MG,mg_eloi_mendes,Elói Mendes,True,,
MG,mg_campos_gerais,Campos Gerais,True,,
MG,mg_camanducaia,Camanducaia,True,,
MG,mg_sao_jose_da_lapa,São José da Lapa,True,,
MG,mg_sao_joao_nepomuceno,São João Nepomuceno,True,,
MG,mg_jacutinga,Jacutinga,False,BaseUrl não funciona,
MG,mg_tupaciguara,Tupaciguara,True,,
BA,ba_salvador,Salvador,True,,
BA,ba_feira_de_santana,Feira de Santana,False,Spider não funciona como deveria,
BA,ba_vitoria_da_conquista,Vitória da Conquista,True,,
BA,ba_camacari,Camaçari,False,O site tem  WAF(Web Application Firewall),
BA,ba_juazeiro,Juazeiro,False,BaseUrl não funciona,
BA,ba_lauro_de_freitas,Lauro de Freitas,True,,
BA,ba_itabuna,Itabuna,True,,
BA,ba_ilheus,Ilhéus,True,,
BA,ba_porto_seguro,Porto Seguro,True,,
BA,ba_barreiras,Barreiras,True,,
BA,ba_jequie,Jequié,True,,
BA,ba_alagoinhas,Alagoinhas,True,,
BA,ba_teixeira_de_freitas,Teixeira de Freitas,True,,
BA,ba_simoes_filho,Simões Filho,False,BaseUrl não funciona,
BA,ba_eunapolis,Eunápolis,True,,
BA,ba_paulo_afonso,Paulo Afonso,True,,
BA,ba_luis_eduardo_magalhaes,Luís Eduardo Magalhães,True,,
BA,ba_santo_antonio_de_jesus,Santo Antônio de Jesus,True,,
BA,ba_guanambi,Guanambi,True,,
BA,ba_valenca,Valença,True,,
BA,ba_jacobina,Jacobina,False,,
BA,ba_serrinha,Serrinha,True,,
BA,ba_senhor_do_bonfim,Senhor do Bonfim,True,,
BA,ba_irece,Irecê,True,,
BA,ba_candeias,Candeias,False,BaseUrl não funciona,
BA,ba_casa_nova,Casa Nova,True,,
BA,ba_dias_davila,Dias d'Ávila,False,BaseUrl não funciona,
BA,ba_campo_formoso,Campo Formoso,True,,
BA,ba_brumado,Brumado,True,,
BA,ba_conceicao_do_coite,Conceição do Coité,True,,
BA,ba_itapetinga,Itapetinga,True,,
BA,ba_bom_jesus_da_lapa,Bom Jesus da Lapa,True,,
BA,ba_itaberaba,Itaberaba,True,,
BA,ba_euclides_da_cunha,Euclides da Cunha,False,Spider não funciona como deveria,
BA,ba_cruz_das_almas,Cruz das Almas,True,,
BA,ba_itamaraju,Itamaraju,True,,
BA,ba_ipira,Ipirá,True,,
BA,ba_santo_amaro,Santo Amaro,True,,
BA,ba_ribeira_do_pombal,Ribeira do Pombal,True,,
BA,ba_santo_estevao,Santo Estêvão,True,,
BA,ba_caetite,Caetité,True,,
BA,ba_barra,Barra,True,,
BA,ba_tucano,Tucano,True,,
BA,ba_araci,Araci,False,BaseUrl não funciona,
BA,ba_pocoes,Poções,True,,
BA,ba_catu,Catu,True,,
BA,ba_monte_santo,Monte Santo,True,,
BA,ba_seabra,Seabra,True,,
BA,ba_jaguaquara,Jaguaquara,True,,
BA,ba_xique_xique,Xique-Xique,True,,
BA,ba_livramento_de_nossa_senhora,Livramento de Nossa Senhora,True,,
BA,ba_mata_de_sao_joao,Mata de São João,True,,
BA,ba_vera_cruz,Vera Cruz,True,,
BA,ba_macaubas,Macaúbas,True,,
BA,ba_sao_sebastiao_do_passe,São Sebastião do Passé,False,BaseUrl não funciona,
BA,ba_ipiau,Ipiaú,True,,
BA,ba_remanso,Remanso,False,BaseUrl não funciona,
BA,ba_sao_goncalo_dos_campos,São Gonçalo dos Campos,True,,
BA,ba_nova_vicosa,Nova Viçosa,True,,
BA,ba_sao_francisco_do_conde,São Francisco do Conde,True,,
BA,ba_santa_maria_da_vitoria,Santa Maria da Vitória,True,,
BA,ba_sento_se,Sento Sé,True,,
BA,ba_entre_rios,Entre Rios,True,,
BA,ba_mucuri,Mucuri,True,,
BA,ba_santaluz,Santaluz,False,BaseUrl não funciona,
BA,ba_jeremoabo,Jeremoabo,True,,
BA,ba_cansancao,Cansanção,False,BaseUrl não funciona,
BA,ba_barra_do_choca,Barra do Choça,True,,
BA,ba_amargosa,Amargosa,True,,
BA,ba_maragogipe,Maragogipe,True,,
BA,ba_rio_real,Rio Real,True,,
BA,ba_pilao_arcado,Pilão Arcado,False,BaseUrl não funciona,
BA,ba_conceicao_do_jacuipe,Conceição do Jacuípe,True,,
BA,ba_prado,Prado,True,,
BA,ba_serra_do_ramalho,Serra do Ramalho,True,,
BA,ba_curaca,Curaçá,True,,
BA,ba_itiuba,Itiúba,False,BaseUrl não funciona,
BA,ba_inhambupe,Inhambupe,True,,
BA,ba_morro_do_chapeu,Morro do Chapéu,True,,
BA,ba_riachao_do_jacuipe,Riachão do Jacuípe,False,Spider não funciona como deveria,
BA,ba_capim_grosso,Capim Grosso,True,,
BA,ba_sao_desiderio,São Desidério,True,,
BA,ba_jaguarari,Jaguarari,True,,
BA,ba_canavieiras,Canavieiras,True,,
BA,ba_esplanada,Esplanada,True,,
BA,ba_correntina,Correntina,True,,
BA,ba_gandu,Gandu,True,,
BA,ba_pojuca,Pojuca,True,,
